feature,importance
interest_factor,0.3637149083518177
age,0.23297967635550235
longitude_gps,0.20121944319865853
latitude_gps,0.19137684590233847
bank_account_type_Savings,0.12039611269319703
termdays,0.10550397088659212
bank_account_type_Other,0.10186753200931224
employment_status_clients_Unknown,0.0886957079786543
totaldue,0.06345794968965958
loanamount,0.047787821691314
bank_name_clients_GT Bank,0.047689975512408715
referredby_Unknown,0.047556178100042285
bank_name_clients_Diamond Bank,0.040573875577802405
level_of_education_clients_Unknown,0.0399912910470953
employment_status_clients_Permanent,0.03956699150595886
bank_name_clients_Stanbic IBTC,0.0349252746035227
bank_name_clients_UBA,0.018257868480915918
bank_name_clients_First Bank,0.01735846715262378
bank_name_clients_Zenith Bank,0.016497692985474155
level_of_education_clients_Secondary,0.010774836959293519
employment_status_clients_Self-Employed,0.009617401533625494
bank_name_clients_FCMB,0.009255868423365704
bank_name_clients_EcoBank,0.007127016580958074
employment_status_clients_Unemployed,0.006694464287585291
level_of_education_clients_Post-Graduate,0.006234278363494122
bank_name_clients_Skye Bank,0.004671040276474349
bank_name_clients_Sterling Bank,0.004432125423658317
bank_branch_clients_Unknown,0.0037268758413906656
bank_name_clients_Fidelity Bank,0.003226057956033928
employment_status_clients_Student,0.00303557779664601
referredby_8a858f495bcefdb9015bd28dd6a91ae3,0.0
referredby_8a858f4c5bb597f6015bc09458821bdb,0.0
referredby_8a858f4c5bb597f6015bc37ca2495d1e,0.0
referredby_8a858f4c5bc9eb48015bca216c74199a,0.0
referredby_8a858f4e5ba5e8d3015ba99033a10cd3,0.0
referredby_8a858f385b34d285015b388b44a27edf,0.0
referredby_8a858f385b34d285015b387bcb86740a,0.0
referredby_8a858f385b34d285015b36b6a49b08d1,0.0
referredby_8a858f385b34d285015b368d23720716,0.0
referredby_8a858f375b807923015b80c6afc537ae,0.0
referredby_8a858f4e5ca72981015cab698acd7f40,0.0
referredby_8a858f375b493337015b494169b00e07,0.0
referredby_8a858f525bedff8d015bef815d3c6d46,0.0
referredby_8a858f4e5ca72981015ca78d16c126e2,0.0
referredby_8a858f3b5c1c5a08015c1c6897ac062b,0.0
referredby_8a858f3b5c1c5a08015c1f69e3786a85,0.0
referredby_8a858f395b3968f6015b3970a22f0ba7,0.0
referredby_8a858f3d5b4411b7015b47d39a1f0401,0.0
referredby_8a858f3e57e2cfcf0157e66df8327b91,0.0
referredby_8a858f3e589c40610158b48a71b430d3,0.0
referredby_8a858f3f5c35c74a015c38ba4efc74cb,0.0
referredby_8a858f495bcefdb9015bcf9d6b173bf5,0.0
referredby_8a858f435cd01e6a015cd0bafa8d502f,0.0
